301	1/05/2019	1/09/2020	1003	301	1	101	1	2	6000	131000	8:00:00	9:00:00	1	137000
302	2/05/2019	2/09/2020	1004	302	2	102	1	2	20000	145000	8:00:00	9:00:00	1	165000
303	3/05/2019	3/09/2020	1005	303	3	103	1	2	0	125000	8:00:00	9:00:00	1	125000
304	4/05/2019	4/09/2020	1006	304	4	104	1	2	6000	131000	8:00:00	9:00:00	1	137000
305	5/05/2019	5/09/2020	1007	305	5	105	2	2	20000	195000	8:00:00	9:00:00	1	215000
306	6/05/2019	6/09/2020	1008	306	6	106	2	2	0	150000	8:00:00	9:00:00	1	150000
307	7/05/2019	7/09/2020	1009	307	7	107	2	2	6000	156000	8:00:00	9:00:00	1	162000
308	8/05/2019	8/09/2020	1010	308	8	108	1	2	20000	170000	8:00:00	9:00:00	1	190000
309	9/05/2019	9/09/2020	1011	309	9	109	1	2	0	125000	8:00:00	9:00:00	1	125000
310	10/05/2019	10/09/2020	1012	310	1	110	1	2	6000	131000	8:00:00	9:00:00	1	137000
311	11/05/2019	11/09/2020	1013	311	2	111	1	2	20000	145000	8:00:00	9:00:00	1	165000
312	12/05/2019	12/09/2020	1014	312	3	112	1	2	0	125000	8:00:00	9:00:00	1	125000
313	13/05/2019	13/09/2020	1015	313	4	113	1	2	6000	131000	8:00:00	9:00:00	1	137000
314	14/05/2019	14/09/2020	1016	314	5	114	2	2	20000	170000	8:00:00	9:00:00	1	190000
315	15/05/2019	15/09/2020	1017	315	6	115	2	2	0	150000	8:00:00	9:00:00	1	150000
316	16/05/2019	16/09/2020	1018	316	7	116	2	2	6000	156000	8:00:00	9:00:00	1	162000
317	17/05/2019	17/09/2020	1019	317	8	117	1	2	20000	145000	8:00:00	9:00:00	1	165000
318	18/05/2019	18/09/2020	1020	318	9	118	1	2	0	125000	8:00:00	9:00:00	1	125000
319	19/05/2019	19/09/2020	1021	319	2	119	1	2	6000	131000	8:00:00	9:00:00	1	137000
